id_left,active,arts,auto,beautysvc,education,eventservices,financialservices,food,health,homeservices,hotelstravel,localflavor,localservices,massmedia,nightlife,pets,professional,publicservicesgovt,realestate,religiousorgs,restaurants,shopping
1,0,1,0,1,0,5,0,3,0,0,4,0,0,0,6,0,0,0,0,0,10,6
2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,1,0,2,0,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,3,7
4,1,2,0,0,0,3,0,1,0,0,3,0,1,0,5,0,0,0,0,0,9,0
5,0,2,0,1,0,3,0,8,0,0,2,0,0,0,5,0,0,0,0,0,11,5
6,0,9,0,16,0,16,0,35,2,0,9,0,0,0,47,0,0,0,0,0,83,24
7,0,1,0,1,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,19,8
8,0,2,0,1,0,2,0,4,0,0,2,0,0,0,3,0,0,0,0,0,5,3
9,0,5,0,15,0,7,0,23,3,0,4,0,0,0,32,0,0,2,0,1,42,15
10,0,0,0,2,0,3,0,16,0,0,2,0,0,0,10,0,0,0,0,0,18,1
11,0,5,0,30,2,8,0,46,0,1,2,0,4,1,37,0,0,0,0,0,80,115
12,0,8,0,15,0,7,0,47,2,0,4,0,0,0,52,0,0,0,0,0,92,42
13,1,2,0,3,1,3,0,17,0,1,3,0,1,0,7,0,0,0,0,0,31,9
14,0,0,0,0,0,13,0,10,0,0,13,0,0,0,12,0,0,0,0,0,18,2
15,0,3,0,16,0,18,0,16,2,0,19,0,0,1,12,0,0,0,0,0,27,17
16,0,11,0,17,0,4,0,34,0,1,4,0,4,0,30,0,0,1,0,0,57,104
17,0,0,0,3,0,19,0,17,0,0,17,0,1,0,12,0,0,0,0,0,24,12
18,0,10,0,17,0,8,0,27,1,0,6,0,0,0,37,0,1,0,0,0,64,30
19,0,2,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,0,0,0,8,2
20,2,12,0,28,0,9,0,48,1,0,5,0,5,0,48,0,0,0,0,0,91,65
21,0,2,0,0,0,1,0,2,0,0,1,0,1,0,5,0,0,0,0,0,9,1
22,2,3,0,2,0,4,0,6,0,0,3,1,0,0,9,0,0,0,0,0,15,5
23,0,3,0,2,0,2,0,5,1,0,1,0,1,0,9,0,1,0,0,0,11,5
24,0,8,0,8,0,12,0,18,1,1,7,0,5,0,26,0,0,0,1,0,37,13
25,0,4,0,6,0,5,0,12,1,0,3,0,1,0,16,0,0,1,0,1,29,25
26,2,8,0,21,0,5,0,31,1,1,0,0,3,0,17,0,0,0,0,0,26,48
27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,1,10,0,16,0,14,0,22,3,1,10,0,6,0,32,0,1,0,0,0,44,41
30,0,1,0,4,0,6,0,4,0,0,6,0,0,0,8,0,0,0,0,0,4,0
31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,0,3,0,0,0,4,0,4,0,0,2,0,0,0,5,1,0,0,0,0,4,3
33,2,3,0,6,1,4,0,50,1,0,5,0,3,0,30,0,0,0,0,0,49,7
34,0,18,0,19,0,10,0,33,0,0,5,0,3,1,39,0,0,0,0,0,54,29
35,0,1,0,1,0,1,0,5,0,1,1,0,1,0,3,0,0,0,0,0,8,4
36,0,0,0,3,1,1,0,4,1,0,1,0,0,0,5,0,0,0,0,0,5,3
37,1,5,0,15,0,5,0,27,1,0,2,0,2,0,11,0,1,1,0,0,46,35
38,0,0,0,2,0,4,0,1,0,0,3,0,0,0,4,0,0,0,0,0,6,0
39,0,2,0,0,1,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,2,1
40,0,3,0,28,0,35,0,30,3,1,30,0,3,0,19,0,0,0,0,0,68,33
41,0,2,0,4,0,9,0,2,0,0,9,0,0,0,7,0,0,0,0,0,9,2
42,1,0,0,2,0,2,0,5,1,0,2,0,0,0,6,0,0,0,0,0,8,5
43,1,1,0,5,0,7,0,14,0,1,7,0,1,0,13,0,1,0,0,0,15,8
44,0,3,0,9,0,6,0,18,1,0,1,0,1,0,17,0,0,0,0,0,25,7
45,0,3,0,13,0,3,0,14,4,0,3,0,2,0,10,0,0,0,0,0,15,7
46,0,6,0,2,0,4,0,11,0,0,3,0,0,0,18,0,0,0,0,0,17,8
47,0,2,0,1,0,4,0,8,1,0,4,0,0,0,8,0,0,0,0,0,16,9
48,0,2,0,2,1,1,0,2,0,1,1,0,0,0,7,0,0,0,1,0,1,2
49,0,1,0,1,0,3,0,1,1,0,3,0,0,1,0,0,0,0,0,0,3,0
50,2,5,0,6,1,17,0,20,0,0,15,0,3,0,8,0,1,0,0,0,22,13
53,2,4,0,11,1,4,0,24,1,1,4,0,3,0,23,0,1,0,0,0,42,21
54,0,3,0,7,0,20,0,7,0,0,20,0,0,0,30,0,0,0,0,0,43,8
55,2,6,0,1,0,6,0,1,0,0,5,0,0,0,6,0,0,0,0,0,13,1
59,0,1,0,3,0,3,0,17,0,0,2,0,1,0,18,0,0,1,0,0,22,18
60,0,3,0,15,0,10,0,10,1,0,10,0,2,0,9,0,0,0,0,0,14,6
61,1,1,0,22,0,6,0,24,1,1,5,0,3,0,17,0,0,0,0,0,42,14
62,1,2,0,13,0,12,0,19,1,0,9,0,4,0,25,0,0,0,0,0,36,19
63,0,9,0,22,0,3,0,24,1,1,2,0,4,0,33,0,0,0,0,0,39,38
64,0,0,0,6,0,4,0,14,0,1,0,0,1,0,9,0,0,0,0,0,20,17
65,0,2,0,17,0,45,0,42,2,0,44,0,2,0,22,0,0,0,0,0,52,21
66,0,1,0,4,1,6,0,5,0,0,2,0,1,0,11,0,0,0,0,0,9,4
67,1,13,0,18,0,15,0,30,0,0,13,0,7,0,37,0,0,0,0,0,65,106
69,1,0,0,5,0,5,0,10,1,0,4,0,1,0,8,0,0,0,0,0,15,9
70,1,3,0,19,0,9,0,18,3,0,6,0,1,0,23,0,0,0,0,0,44,26
71,0,0,0,3,0,8,0,8,0,0,9,0,2,0,13,0,0,0,0,0,15,4
72,1,0,0,6,0,1,0,7,2,0,1,0,1,0,3,0,0,0,0,0,5,6
73,0,2,0,13,0,6,0,11,6,0,5,0,1,0,13,0,1,0,0,0,15,14
74,1,4,0,12,0,14,0,8,0,0,10,0,1,0,17,0,0,0,0,0,21,33
75,1,1,0,25,0,37,0,25,2,0,37,0,6,0,15,0,0,0,0,0,43,32
76,0,4,0,10,0,2,0,11,0,0,0,1,1,0,1,0,0,0,0,0,15,31
77,0,14,0,39,1,11,0,26,7,1,8,0,7,0,30,0,1,0,0,0,52,110
78,0,0,0,2,0,2,0,22,0,0,2,0,1,0,9,0,0,0,0,0,12,1
79,1,1,0,36,1,16,0,27,4,2,13,0,7,0,18,0,0,0,0,0,50,57
81,0,1,0,1,0,2,0,2,0,0,1,0,2,0,6,0,0,0,0,0,2,4
82,1,2,0,4,0,5,0,12,0,0,5,0,1,0,8,0,0,0,0,0,7,2
83,0,2,0,22,0,9,0,23,3,1,7,0,0,1,13,0,0,1,1,0,41,36
84,1,5,0,13,0,8,0,16,1,0,6,0,3,0,9,0,0,0,0,0,18,6
85,1,1,0,12,0,31,0,24,1,2,32,0,1,0,18,0,0,0,0,0,43,10
86,1,13,0,26,2,7,0,41,5,3,5,0,4,1,20,1,1,0,0,0,46,92
88,0,1,0,12,0,11,0,21,1,1,11,0,0,0,10,0,1,0,0,0,40,23
90,0,0,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,6,0
91,0,2,0,3,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,3,2
93,0,3,0,12,0,36,0,19,0,0,35,0,3,1,12,0,0,0,0,0,37,10
94,2,15,0,37,1,10,0,57,6,2,2,1,8,0,52,0,0,0,0,0,70,81
95,2,1,0,29,0,61,0,37,4,1,61,0,6,0,18,0,1,1,0,0,59,35
96,0,0,0,18,0,21,0,18,1,0,20,0,1,0,14,0,0,0,0,0,20,12
97,0,7,0,9,0,5,0,12,0,0,4,0,2,0,14,0,0,0,0,0,11,18
98,0,3,0,6,2,5,0,13,1,1,5,0,2,0,14,1,0,0,1,0,26,10
99,0,1,0,10,0,4,0,13,0,0,4,0,0,0,3,0,0,0,0,0,16,6
100,0,6,1,19,0,6,0,22,0,1,2,0,5,0,20,0,1,0,1,0,44,20
101,0,4,0,6,1,3,0,20,1,0,1,0,6,0,12,0,0,0,0,0,18,24
103,0,3,0,8,0,12,0,10,1,0,12,0,1,0,10,0,0,0,0,0,16,7
104,0,2,0,2,0,1,0,5,0,0,1,0,2,0,5,0,0,0,0,0,4,4
105,0,5,0,6,0,1,0,14,0,0,0,0,0,0,6,0,0,0,0,0,18,7
106,1,5,0,7,0,4,0,11,1,0,2,0,2,0,17,0,0,0,0,0,13,4
107,1,2,0,6,0,1,0,10,0,0,1,0,0,0,7,0,0,0,0,0,7,15
110,0,2,0,10,0,10,0,13,0,0,9,0,1,0,6,0,0,0,0,0,10,25
111,0,1,0,4,0,1,0,4,0,0,1,0,3,0,3,0,0,0,0,0,3,4
112,0,2,1,5,0,3,0,6,0,1,3,0,3,0,4,0,0,0,0,0,5,15
114,1,14,0,21,0,9,0,32,0,0,1,0,6,0,24,0,0,0,0,0,22,35
118,0,14,0,11,0,4,0,42,1,2,2,1,1,0,32,0,0,0,1,0,30,53
121,0,5,0,4,0,7,0,14,0,0,4,0,0,0,10,0,0,0,0,0,13,18
122,0,5,0,12,0,83,0,30,1,2,81,0,5,0,23,0,0,0,0,0,51,12
123,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0
124,0,4,1,13,1,5,0,12,2,3,1,0,2,0,17,0,1,0,1,0,30,34
126,1,4,0,14,1,12,0,20,0,0,8,0,6,0,19,0,0,0,0,0,20,27
127,0,1,0,3,0,2,0,5,0,0,2,0,0,0,5,0,0,0,0,0,8,3
129,0,3,0,6,0,2,0,13,0,2,1,0,1,1,8,0,0,0,0,0,5,13
130,0,9,0,16,0,5,0,26,0,0,0,0,4,0,27,0,0,0,0,0,22,27
131,0,0,0,2,0,2,0,4,0,0,1,0,1,0,2,0,0,0,0,0,2,2
132,1,4,0,20,0,1,0,18,1,0,1,0,4,0,9,0,0,0,0,0,15,18
134,0,6,1,21,0,12,0,27,1,0,12,1,4,0,10,0,0,0,0,0,28,40
135,1,2,0,2,0,3,0,6,0,0,2,0,1,0,8,0,0,0,0,0,5,2
139,0,2,0,1,0,3,0,1,0,0,3,0,1,0,1,0,0,0,0,0,3,3
140,0,2,0,30,1,7,0,18,2,1,5,0,1,0,22,0,0,0,0,0,19,25
142,0,2,0,8,0,7,0,7,1,1,4,0,2,0,7,0,0,0,0,0,5,13
143,0,5,0,10,0,5,0,20,2,0,2,0,4,0,18,0,0,0,0,0,16,24
146,0,1,0,9,0,2,0,10,0,0,1,0,1,1,8,0,0,0,0,0,12,9
147,1,0,0,11,2,2,0,11,0,1,1,0,3,0,6,0,0,0,0,0,7,21
148,1,0,0,4,0,2,0,8,0,0,0,0,1,0,4,0,0,0,0,0,8,6
150,0,0,1,1,0,3,0,2,1,0,3,0,0,0,2,0,0,0,0,0,1,1
152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
153,0,0,0,12,0,5,0,20,2,0,5,0,3,0,4,0,0,0,0,0,13,8
154,0,2,0,20,0,3,0,19,0,1,3,0,5,0,15,0,0,0,0,0,21,13
155,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,6
156,3,1,0,4,0,5,0,19,1,0,5,0,1,0,7,0,0,1,0,0,7,6
160,0,3,0,18,0,1,0,15,0,0,0,0,2,0,8,0,0,0,0,0,12,17
161,0,1,0,6,0,0,0,7,0,0,0,0,3,0,5,0,0,0,0,0,4,9
163,0,3,0,4,0,4,0,8,0,0,3,0,2,0,7,0,0,0,0,0,8,9
164,0,3,0,1,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,0,4,9
165,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
166,0,3,0,12,0,2,0,10,0,1,0,0,3,0,8,0,0,0,0,0,12,24
168,0,0,0,8,0,4,0,7,0,0,2,0,0,0,4,0,0,0,0,0,3,23
169,0,0,0,5,0,2,0,8,0,1,2,0,0,0,6,0,0,0,0,0,8,6
171,0,1,0,18,0,5,0,10,1,1,1,0,3,0,28,0,0,0,0,0,19,10
173,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
174,0,0,0,4,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,4
175,0,5,0,21,0,4,0,28,1,0,3,0,5,0,18,0,0,0,0,0,33,22
176,0,3,0,5,1,2,0,9,0,0,2,0,0,0,7,0,0,0,0,0,8,6
178,0,3,0,0,0,2,0,7,0,1,0,0,1,0,5,0,0,0,0,0,1,3
179,0,1,0,2,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,6
181,0,4,0,17,0,7,0,34,3,0,4,0,2,0,11,0,0,0,0,0,18,24
182,0,0,0,2,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,1
186,0,0,0,3,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,0,5,3
187,0,1,0,5,0,2,0,3,1,0,2,0,0,0,5,0,0,0,0,0,7,10
188,0,3,0,14,2,5,0,8,0,0,3,0,2,0,9,0,0,0,0,0,11,19
189,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,11,0,2,0,2,1,0,1,0,2,0,5,1,0,0,0,0,5,9
195,1,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
197,0,1,0,2,0,1,0,2,0,0,1,0,1,0,6,0,0,0,0,0,1,6
204,0,0,0,6,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,8
205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
206,0,4,0,1,0,3,0,4,0,0,1,0,1,0,1,0,0,0,0,0,1,4
208,0,2,0,7,0,2,0,3,1,0,0,0,3,0,2,0,0,0,0,0,6,5
209,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,2,0,0,0,1,0,5,0,0,1,0,0,0,2,0,0,0,0,0,3,2
211,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,1,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,1,1
217,0,0,0,2,0,4,0,2,1,0,4,0,0,0,1,0,0,0,0,0,0,3
219,0,0,0,4,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,4
221,0,1,0,6,0,0,0,2,1,1,0,0,2,0,5,0,0,0,0,0,4,5
222,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
223,1,2,0,7,0,1,0,6,0,0,1,0,0,0,4,0,0,0,0,0,3,3
225,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,1
229,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
234,1,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,1
235,0,4,0,3,1,0,0,8,1,0,0,0,1,0,12,0,0,0,0,0,5,5
237,1,0,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1
239,0,1,0,5,0,1,0,2,0,0,0,0,2,0,4,0,0,0,0,0,3,3
242,0,0,0,2,0,0,0,2,0,0,1,0,2,0,4,0,0,0,0,0,0,1
247,0,0,0,0,0,3,0,3,0,0,3,0,0,0,1,0,0,0,0,0,1,2
248,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
249,1,5,0,11,0,4,0,13,0,0,2,0,0,0,11,0,0,0,0,0,13,15
251,2,2,0,15,0,2,0,8,2,0,2,0,2,0,15,0,0,0,0,0,14,16
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2
254,0,2,0,27,0,4,1,6,2,0,1,1,1,0,4,0,0,0,0,0,2,37
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,0,2,0,4,0,2,0,2,1,0,0,0,0,0,6,0,0,0,0,0,3,10
260,1,3,0,26,0,7,0,26,0,0,4,0,2,0,7,0,0,0,0,0,17,29
261,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
262,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
263,0,0,0,3,0,2,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1
268,0,1,0,8,0,2,0,14,0,0,2,0,5,0,8,0,0,0,0,0,9,14
273,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
275,0,5,0,15,0,5,0,18,0,0,1,0,1,0,13,0,0,0,0,0,8,14
279,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
280,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,0,2,0,4,0,3,0,7,0,1,0,0,0,0,10,0,0,0,0,0,8,5
287,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
290,0,1,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
295,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
300,0,1,1,4,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,5
304,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
305,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,1,0,6,0,2,0,3,0,0,0,0,1,0,3,0,0,0,0,0,4,11
311,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
312,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
318,0,0,0,6,0,1,0,7,0,1,0,0,1,0,2,0,0,0,0,0,1,3
321,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
322,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
323,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
324,0,0,0,3,0,1,0,6,0,0,1,0,0,0,4,0,0,0,0,0,2,3
325,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,1,0,7,0,2,0,5,0,1,0,0,1,0,4,0,0,0,0,0,6,19
331,0,1,0,6,0,3,0,5,1,2,2,0,1,0,2,0,0,0,0,0,7,14
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
335,0,0,2,2,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,3
336,0,1,0,1,0,1,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,1
337,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
340,0,1,0,2,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,4,4
341,0,0,0,1,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,3
343,0,0,0,0,1,1,0,6,0,0,0,0,3,0,2,0,0,0,0,0,1,3
349,0,0,0,2,0,1,0,2,0,0,1,0,1,0,3,0,0,0,0,0,2,3
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1
358,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
367,0,3,0,6,0,2,0,2,0,0,1,0,1,0,4,0,1,0,0,0,1,11
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
370,0,0,0,3,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2
372,0,1,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,1
376,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
383,0,0,0,3,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,2
385,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
391,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
400,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
409,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
417,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
422,0,0,0,4,0,4,0,8,0,0,4,0,2,0,1,0,0,0,0,0,2,11
426,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
430,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
439,0,0,0,2,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,5
448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
451,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
453,0,0,0,1,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0
457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
468,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
474,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
505,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
522,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1
523,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
569,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
571,0,0,0,10,0,2,0,22,0,0,3,0,1,1,10,0,0,1,0,0,14,20
572,1,1,0,10,0,5,0,12,2,0,2,0,1,0,9,0,0,0,0,0,7,11
573,0,0,0,3,0,1,0,6,0,0,0,0,0,0,5,0,0,0,0,0,7,2
574,1,1,0,4,0,2,0,6,0,0,2,0,1,0,6,0,0,1,0,0,8,8
575,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
576,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
577,1,0,0,3,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,2,2
578,0,1,0,5,0,1,0,8,1,1,0,0,0,0,2,0,0,0,0,0,4,10
579,0,0,0,1,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,6
580,0,0,0,6,1,3,0,12,0,1,3,0,0,0,1,0,0,0,0,0,8,24
582,0,0,0,5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
583,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
591,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
592,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
594,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0
600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
