id_left,$,$$,$$$,$$$$,$_%,$$_%,$$$_%,$$$$_%,cheap,expensive,average_price
1,1,0,0,0,1,0,0,0,1,0,1
4,0,1,1,0,0,0.5,0.5,0,0.5,0.5,2.5
5,0,2,1,0,0,0.666666667,0.333333333,0,0.666666667,0.333333333,2.333333333
6,2,7,2,2,0.153846154,0.538461538,0.153846154,0.153846154,0.692307692,0.307692308,2.307692308
7,0,2,0,0,0,1,0,0,1,0,2
8,0,3,0,0,0,1,0,0,1,0,2
9,3,1,2,1,0.428571429,0.142857143,0.285714286,0.142857143,0.571428571,0.428571429,2.142857143
11,0,5,2,0,0,0.714285714,0.285714286,0,0.714285714,0.285714286,2.285714286
12,2,6,3,0,0.181818182,0.545454545,0.272727273,0,0.727272727,0.272727273,2.090909091
13,0,2,0,0,0,1,0,0,1,0,2
15,1,0,2,0,0.333333333,0,0.666666667,0,0.333333333,0.666666667,2.333333333
16,2,3,4,2,0.181818182,0.272727273,0.363636364,0.181818182,0.454545455,0.545454545,2.545454545
18,1,8,2,0,0.090909091,0.727272727,0.181818182,0,0.818181818,0.181818182,2.090909091
19,2,1,0,0,0.666666667,0.333333333,0,0,1,0,1.333333333
20,1,6,3,2,0.083333333,0.5,0.25,0.166666667,0.583333333,0.416666667,2.5
21,4,0,0,0,1,0,0,0,1,0,1
22,0,1,0,2,0,0.333333333,0,0.666666667,0.333333333,0.666666667,3.333333333
23,1,1,1,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,2
24,2,6,0,0,0.25,0.75,0,0,1,0,1.75
25,3,0,2,0,0.6,0,0.4,0,0.6,0.4,1.8
26,3,6,1,0,0.3,0.6,0.1,0,0.9,0.1,1.8
29,2,4,4,1,0.181818182,0.363636364,0.363636364,0.090909091,0.545454545,0.454545455,2.363636364
30,0,1,0,0,0,1,0,0,1,0,2
31,0,1,0,0,0,1,0,0,1,0,2
32,1,0,2,0,0.333333333,0,0.666666667,0,0.333333333,0.666666667,2.333333333
33,2,1,0,0,0.666666667,0.333333333,0,0,1,0,1.333333333
34,1,13,4,0,0.055555556,0.722222222,0.222222222,0,0.777777778,0.222222222,2.166666667
35,0,0,1,0,0,0,1,0,0,1,3
37,4,1,1,0,0.666666667,0.166666667,0.166666667,0,0.833333333,0.166666667,1.5
39,2,1,0,0,0.666666667,0.333333333,0,0,1,0,1.333333333
40,2,0,1,1,0.5,0,0.25,0.25,0.5,0.5,2.25
41,1,2,0,0,0.333333333,0.666666667,0,0,1,0,1.666666667
43,0,1,0,0,0,1,0,0,1,0,2
44,0,2,0,1,0,0.666666667,0,0.333333333,0.666666667,0.333333333,2.666666667
45,2,0,1,0,0.666666667,0,0.333333333,0,0.666666667,0.333333333,1.666666667
46,3,4,1,0,0.375,0.5,0.125,0,0.875,0.125,1.75
47,2,2,0,0,0.5,0.5,0,0,1,0,1.5
48,2,0,1,0,0.666666667,0,0.333333333,0,0.666666667,0.333333333,1.666666667
49,0,1,0,0,0,1,0,0,1,0,2
50,1,5,0,0,0.166666667,0.833333333,0,0,1,0,1.833333333
53,0,1,3,0,0,0.25,0.75,0,0.25,0.75,2.75
54,0,0,3,0,0,0,1,0,0,1,3
55,0,4,1,0,0,0.8,0.2,0,0.8,0.2,2.2
59,0,2,0,0,0,1,0,0,1,0,2
60,0,1,1,1,0,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,3
61,0,2,0,0,0,1,0,0,1,0,2
62,0,1,1,0,0,0.5,0.5,0,0.5,0.5,2.5
63,2,7,2,0,0.181818182,0.636363636,0.181818182,0,0.818181818,0.181818182,2
65,0,0,3,0,0,0,1,0,0,1,3
66,1,0,0,0,1,0,0,0,1,0,1
67,1,0,8,5,0.071428571,0,0.571428571,0.357142857,0.071428571,0.928571429,3.214285714
70,0,2,1,0,0,0.666666667,0.333333333,0,0.666666667,0.333333333,2.333333333
73,0,1,0,1,0,0.5,0,0.5,0.5,0.5,3
74,0,2,2,2,0,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,3
75,0,1,0,0,0,1,0,0,1,0,2
76,3,0,1,0,0.75,0,0.25,0,0.75,0.25,1.5
77,2,4,4,6,0.125,0.25,0.25,0.375,0.375,0.625,2.875
79,0,0,0,1,0,0,0,1,0,1,4
81,0,1,0,0,0,1,0,0,1,0,2
82,0,1,1,0,0,0.5,0.5,0,0.5,0.5,2.5
83,0,1,1,0,0,0.5,0.5,0,0.5,0.5,2.5
84,2,5,0,0,0.285714286,0.714285714,0,0,1,0,1.714285714
85,0,0,1,0,0,0,1,0,0,1,3
86,0,10,4,0,0,0.714285714,0.285714286,0,0.714285714,0.285714286,2.285714286
88,0,0,1,0,0,0,1,0,0,1,3
91,2,0,0,0,1,0,0,0,1,0,1
93,0,2,1,0,0,0.666666667,0.333333333,0,0.666666667,0.333333333,2.333333333
94,1,13,3,0,0.058823529,0.764705882,0.176470588,0,0.823529412,0.176470588,2.117647059
95,0,0,1,0,0,0,1,0,0,1,3
97,3,4,0,0,0.428571429,0.571428571,0,0,1,0,1.571428571
98,0,0,2,1,0,0,0.666666667,0.333333333,0,1,3.333333333
99,0,2,0,0,0,1,0,0,1,0,2
100,0,2,4,0,0,0.333333333,0.666666667,0,0.333333333,0.666666667,2.666666667
101,0,3,1,0,0,0.75,0.25,0,0.75,0.25,2.25
103,0,3,1,0,0,0.75,0.25,0,0.75,0.25,2.25
104,0,2,0,0,0,1,0,0,1,0,2
105,0,4,0,1,0,0.8,0,0.2,0.8,0.2,2.4
106,1,4,1,0,0.166666667,0.666666667,0.166666667,0,0.833333333,0.166666667,2
107,0,1,3,0,0,0.25,0.75,0,0.25,0.75,2.75
110,0,2,0,0,0,1,0,0,1,0,2
111,2,0,0,0,1,0,0,0,1,0,1
112,0,0,1,0,0,0,1,0,0,1,3
114,2,13,0,0,0.133333333,0.866666667,0,0,1,0,1.866666667
118,2,14,1,0,0.117647059,0.823529412,0.058823529,0,0.941176471,0.058823529,1.941176471
121,2,5,0,0,0.285714286,0.714285714,0,0,1,0,1.714285714
122,1,4,0,1,0.166666667,0.666666667,0,0.166666667,0.833333333,0.166666667,2.166666667
123,0,1,0,0,0,1,0,0,1,0,2
124,0,2,2,0,0,0.5,0.5,0,0.5,0.5,2.5
126,0,3,1,0,0,0.75,0.25,0,0.75,0.25,2.25
127,2,0,0,0,1,0,0,0,1,0,1
129,2,1,0,0,0.666666667,0.333333333,0,0,1,0,1.333333333
130,2,7,0,0,0.222222222,0.777777778,0,0,1,0,1.777777778
132,1,3,0,0,0.25,0.75,0,0,1,0,1.75
134,0,5,2,0,0,0.714285714,0.285714286,0,0.714285714,0.285714286,2.285714286
135,0,2,0,0,0,1,0,0,1,0,2
139,0,3,0,0,0,1,0,0,1,0,2
140,0,3,0,0,0,1,0,0,1,0,2
142,1,1,0,0,0.5,0.5,0,0,1,0,1.5
143,2,2,2,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,2
146,1,0,0,0,1,0,0,0,1,0,1
154,0,3,0,0,0,1,0,0,1,0,2
156,1,0,0,0,1,0,0,0,1,0,1
160,1,1,1,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,2
161,1,0,0,0,1,0,0,0,1,0,1
163,1,1,1,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,2
164,3,0,0,0,1,0,0,0,1,0,1
165,1,0,0,0,1,0,0,0,1,0,1
166,1,2,0,0,0.333333333,0.666666667,0,0,1,0,1.666666667
171,0,1,0,0,0,1,0,0,1,0,2
175,0,3,1,1,0,0.6,0.2,0.2,0.6,0.4,2.6
176,1,1,1,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,2
178,0,3,0,0,0,1,0,0,1,0,2
179,0,1,0,0,0,1,0,0,1,0,2
181,2,1,1,0,0.5,0.25,0.25,0,0.75,0.25,1.75
187,0,0,1,0,0,0,1,0,0,1,3
188,0,4,0,0,0,1,0,0,1,0,2
197,0,0,0,1,0,0,0,1,0,1,4
206,1,3,0,0,0.25,0.75,0,0,1,0,1.75
208,0,2,0,0,0,1,0,0,1,0,2
209,0,1,0,0,0,1,0,0,1,0,2
210,0,1,0,1,0,0.5,0,0.5,0.5,0.5,3
221,0,1,0,0,0,1,0,0,1,0,2
223,1,1,0,0,0.5,0.5,0,0,1,0,1.5
235,0,1,2,0,0,0.333333333,0.666666667,0,0.333333333,0.666666667,2.666666667
239,0,0,1,0,0,0,1,0,0,1,3
249,2,3,0,0,0.4,0.6,0,0,1,0,1.6
251,0,1,1,0,0,0.5,0.5,0,0.5,0.5,2.5
254,0,1,1,0,0,0.5,0.5,0,0.5,0.5,2.5
258,0,2,0,0,0,1,0,0,1,0,2
260,4,0,1,0,0.8,0,0.2,0,0.8,0.2,1.4
268,1,0,0,0,1,0,0,0,1,0,1
275,0,5,0,0,0,1,0,0,1,0,2
281,0,3,0,0,0,1,0,0,1,0,2
290,0,1,0,0,0,1,0,0,1,0,2
300,0,1,0,0,0,1,0,0,1,0,2
310,0,1,0,0,0,1,0,0,1,0,2
321,0,0,1,0,0,0,1,0,0,1,3
327,0,1,0,0,0,1,0,0,1,0,2
331,0,0,1,0,0,0,1,0,0,1,3
336,2,0,0,0,1,0,0,0,1,0,1
340,1,0,0,0,1,0,0,0,1,0,1
367,0,3,0,0,0,1,0,0,1,0,2
372,0,2,0,0,0,1,0,0,1,0,2
430,0,1,0,0,0,1,0,0,1,0,2
572,2,0,0,0,1,0,0,0,1,0,1
574,0,1,0,0,0,1,0,0,1,0,2
578,2,0,0,0,1,0,0,0,1,0,1
